Frequency_Hz,Node1_Mag_dB,Node1_Phase_deg
8.389e+010,33.9794,0
8.398e+010,33.9794,0
8.407e+010,33.9794,0
8.416e+010,33.9794,0
8.425e+010,33.9794,0
8.434e+010,33.9794,0
8.443e+010,33.9794,0
8.452e+010,33.9794,0
8.461e+010,33.9794,0
8.47e+010,33.9794,0
8.479e+010,33.9794,0
8.488e+010,33.9794,0
8.497e+010,33.9794,0
8.506e+010,33.9794,0
8.515e+010,33.9794,0
8.524e+010,33.9794,0
8.533e+010,33.9794,0
8.542e+010,33.9794,0
8.551e+010,33.9794,0
8.56e+010,33.9794,0
8.569e+010,33.9794,0
8.578e+010,33.9794,0
8.587e+010,33.9794,0
8.596e+010,33.9794,0
8.605e+010,33.9794,0
8.614e+010,33.9794,0
8.623e+010,33.9794,0
8.632e+010,33.9794,0
8.641e+010,33.9794,0
8.65e+010,33.9794,0
8.659e+010,33.9794,0
8.668e+010,33.9794,0
8.677e+010,33.9794,0
8.686e+010,33.9794,0
8.695e+010,33.9794,0
8.704e+010,33.9794,0
8.713e+010,33.9794,0
8.722e+010,33.9794,0
8.731e+010,33.9794,0
8.74e+010,33.9794,0
8.749e+010,33.9794,0
8.758e+010,33.9794,0
8.767e+010,33.9794,0
8.776e+010,33.9794,0
8.785e+010,33.9794,0
8.794e+010,33.9794,0
8.803e+010,33.9794,0
8.812e+010,33.9794,0
8.821e+010,33.9794,0
8.83e+010,33.9794,0
8.839e+010,33.9794,0
8.848e+010,33.9794,0
8.857e+010,33.9794,0
8.866e+010,33.9794,0
8.875e+010,33.9794,0
8.884e+010,33.9794,0
8.893e+010,33.9794,0
8.902e+010,33.9794,0
8.911e+010,33.9794,0
8.92e+010,33.9794,0
8.929e+010,33.9794,0
8.938e+010,33.9794,0
8.947e+010,33.9794,0
8.956e+010,33.9794,0
8.965e+010,33.9794,0
8.974e+010,33.9794,0
8.983e+010,33.9794,0
8.992e+010,33.9794,0
9.001e+010,33.9794,0
9.01e+010,33.9794,0
9.019e+010,33.9794,0
9.028e+010,33.9794,0
9.037e+010,33.9794,0
9.046e+010,33.9794,0
9.055e+010,33.9794,0
9.064e+010,33.9794,0
9.073e+010,33.9794,0
9.082e+010,33.9794,0
9.091e+010,33.9794,0
9.1e+010,33.9794,0
9.109e+010,33.9794,0
9.118e+010,33.9794,0
9.127e+010,33.9794,0
9.136e+010,33.9794,0
9.145e+010,33.9794,0
9.154e+010,33.9794,0
9.163e+010,33.9794,0
9.172e+010,33.9794,0
9.181e+010,33.9794,0
9.19e+010,33.9794,0
9.199e+010,33.9794,0
9.208e+010,33.9794,0
9.217e+010,33.9794,0
9.226e+010,33.9794,0
9.235e+010,33.9794,0
9.244e+010,33.9794,0
9.253e+010,33.9794,0
9.262e+010,33.9794,0
9.271e+010,33.9794,0
9.28e+010,33.9794,0
9.289e+010,33.9794,0
9.298e+010,33.9794,0
9.307e+010,33.9794,0
9.316e+010,33.9794,0
9.325e+010,33.9794,0
9.334e+010,33.9794,0
9.343e+010,33.9794,0
9.352e+010,33.9794,0
9.361e+010,33.9794,0
9.37e+010,33.9794,0
9.379e+010,33.9794,0
9.388e+010,33.9794,0
9.397e+010,33.9794,0
9.406e+010,33.9794,0
9.415e+010,33.9794,0
9.424e+010,33.9794,0
9.433e+010,33.9794,0
9.442e+010,33.9794,0
9.451e+010,33.9794,0
9.46e+010,33.9794,0
9.469e+010,33.9794,0
9.478e+010,33.9794,0
9.487e+010,33.9794,0
9.496e+010,33.9794,0
9.505e+010,33.9794,0
9.514e+010,33.9794,0
9.523e+010,33.9794,0
9.532e+010,33.9794,0
9.541e+010,33.9794,0
9.55e+010,33.9794,0
9.559e+010,33.9794,0
9.568e+010,33.9794,0
9.577e+010,33.9794,0
9.586e+010,33.9794,0
9.595e+010,33.9794,0
9.604e+010,33.9794,0
9.613e+010,33.9794,0
9.622e+010,33.9794,0
9.631e+010,33.9794,0
9.64e+010,33.9794,0
9.649e+010,33.9794,0
9.658e+010,33.9794,0
9.667e+010,33.9794,0
9.676e+010,33.9794,0
9.685e+010,33.9794,0
9.694e+010,33.9794,0
9.703e+010,33.9794,0
9.712e+010,33.9794,0
9.721e+010,33.9794,0
9.73e+010,33.9794,0
9.739e+010,33.9794,0
9.748e+010,33.9794,0
9.757e+010,33.9794,0
9.766e+010,33.9794,0
9.775e+010,33.9794,0
9.784e+010,33.9794,0
9.793e+010,33.9794,0
9.802e+010,33.9794,0
9.811e+010,33.9794,0
9.82e+010,33.9794,0
9.829e+010,33.9794,0
9.838e+010,33.9794,0
9.847e+010,33.9794,0
9.856e+010,33.9794,0
9.865e+010,33.9794,0
9.874e+010,33.9794,0
9.883e+010,33.9794,0
9.892e+010,33.9794,0
9.901e+010,33.9794,0
9.91e+010,33.9794,0
